ticker,name,beneish_m_score,altman_z_score,piotroski_f_score,short_pct,short_eur,short_leg
5702.T,Sumitomo Metal Mining Co,-1.6642615460270282,2.2951651918307356,2.0,1.5,150.0,Short
7974.T,Nintendo Co,-1.7100084880218536,1.377954018152046,3.0,1.5,150.0,Short
